#{"t_start": 1650551670.7761683, "env_id": "PandaReach-v2"}
r,l,t,is_success
-50.0,50,122.790504,0.0
-50.0,50,122.998945,0.0
-50.0,50,123.220954,0.0
-50.0,50,124.930614,0.0
-50.0,50,125.257741,0.0
-50.0,50,125.587857,0.0
-50.0,50,125.787324,0.0
-50.0,50,125.962853,0.0
-50.0,50,126.193238,0.0
-50.0,50,126.438611,0.0
-50.0,50,126.667001,0.0
-50.0,50,126.908355,0.0
-50.0,50,127.097528,0.0
-50.0,50,128.589225,0.0
-50.0,50,128.779655,0.0
-50.0,50,128.977812,0.0
-50.0,50,129.15135,0.0
-50.0,50,129.317946,0.0
-50.0,50,129.484493,0.0
-50.0,50,129.674001,0.0
-50.0,50,129.864442,0.0
-50.0,50,130.04097,0.0
-50.0,50,130.213544,0.0
-50.0,50,131.466537,0.0
-50.0,50,131.634088,0.0
-50.0,50,131.794179,0.0
-50.0,50,131.960776,0.0
-50.0,50,132.124343,0.0
-50.0,50,132.292845,0.0
-50.0,50,132.462393,0.0
-50.0,50,132.630941,0.0
-50.0,50,132.793506,0.0
-50.0,50,132.964113,0.0
-50.0,50,133.126926,0.0
-50.0,50,134.382051,0.0
-50.0,50,134.555588,0.0
-50.0,50,134.720148,0.0
-50.0,50,134.888697,0.0
-50.0,50,135.064262,0.0
-50.0,50,135.236797,0.0
-50.0,50,135.407345,0.0
-50.0,50,135.630745,0.0
-50.0,50,135.853177,0.0
-50.0,50,136.037693,0.0
-50.0,50,137.327057,0.0
-50.0,50,138.399145,0.0
-50.0,50,138.658471,0.0
-50.0,50,138.89085,0.0
-49.0,50,139.133202,0.0
-50.0,50,139.437389,0.0
-50.0,50,139.680739,0.0
-50.0,50,139.915209,0.0
-50.0,50,140.181498,0.0
-50.0,50,140.540537,0.0
