time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,time/iterations,rollout/ep_len_mean,train/policy_gradient_loss,train/clip_range,train/n_updates,train/std,train/explained_variance,train/entropy_loss,train/clip_fraction,train/approx_kl,train/value_loss,train/learning_rate,train/loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
11264,78,-49.43,143,22,50.0,-0.03083237149985507,0.3,210,0.13759706914424896,0.9130804911255836,1.694252286851406,0.1900390625,0.038018357,11.190945991873742,5.49717e-05,5.303576469421387,,,
11776,81,-49.48,144,23,50.0,-0.032438520406140016,0.3,220,0.13772831857204437,0.9337539002299309,1.6919176436960697,0.1970703125,0.03037603,9.179989865422248,5.49717e-05,2.3715009689331055,,,
12288,84,-49.42,145,24,50.0,-0.02492534926859662,0.3,230,0.1382715404033661,0.9637931026518345,1.68531449213624,0.2419921875,0.06830296,4.337007187306881,5.49717e-05,1.2096763849258423,,,
12800,87,-49.52,145,25,50.0,-0.0343729845713824,0.3,240,0.13861773908138275,0.9651724323630333,1.6748497284948827,0.2130859375,0.034939334,5.684258003532887,5.49717e-05,1.9401594400405884,,,
13312,90,-49.56,146,26,50.0,-0.02657654236536473,0.3,250,0.13854753971099854,0.9705025758594275,1.6720376685261726,0.18515625,0.047296163,4.3711489394307135,5.49717e-05,1.0504118204116821,,,
13824,94,-49.56,146,27,50.0,-0.03185331947170198,0.3,260,0.13847574591636658,0.9832995273172855,1.6738983742892741,0.22109375,0.04408098,2.454733358696103,5.49717e-05,0.4770268201828003,,,
14336,97,-49.58,146,28,50.0,-0.030771624098997565,0.3,270,0.13898266851902008,0.9717405550181866,1.669629529118538,0.2283203125,0.054481283,2.915599965676665,5.49717e-05,0.636865496635437,,,
14848,100,-49.58,147,29,50.0,-0.020402562944218515,0.3,280,0.1390688121318817,0.9791242629289627,1.661843616515398,0.133984375,0.02006131,2.226346834748983,5.49717e-05,0.6982020735740662,,,
15360,104,-49.7,147,30,50.0,-0.03077012097928673,0.3,290,0.13938479125499725,0.9864408718422055,1.6583496108651161,0.1951171875,0.034394495,1.151232649385929,5.49717e-05,0.3217548131942749,,,
15872,107,-49.8,148,31,50.0,-0.025827458396088333,0.3,300,0.13971760869026184,0.9821978453546762,1.6518414795398713,0.1619140625,0.039630257,1.7145712088793517,5.49717e-05,0.4181298613548279,,,
